github.com/AlDanial/cloc v 2.02  T=2.35 s (137.3 files/s, 16757.6 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                            blank %      comment %           code
.\doc.drafts\boost\links.txt                                                      20.00           0.00              4
.\doc.drafts\md.txt                                                                0.00           0.00              4
.\doc.drafts\plantuml\29-bnf-18.puml                                               0.00           0.00              4
.\doc.drafts\plantuml\31-bnf-20.puml                                               0.00           0.00              4
.\doc.drafts\plantuml\33-bnf-22.puml                                               0.00           0.00              4
.\doc.drafts\plantuml\53-state-18.puml                                            33.33           0.00              4
.\doc.drafts\rtf-smp\ud-inc\unidoc\common\Img\mkframes.bat                         0.00          20.00              4
.\doc.drafts\table-test\table-test-01.txt                                          0.00           0.00              4
.\doc.drafts\table-test\table-test-02.txt                                          0.00           0.00              4
.\doc.drafts\table-test\table-test-03.txt                                          0.00           0.00              4
.\doc.drafts\table-test\table-test-04.txt                                          0.00           0.00              4
.\_src\simple-drawing\check-points.h                                              50.00           0.00              3
.\_src\umba-md-pp\_enums\ArgListType.txt                                           0.00           0.00              3
.\_src\umba-md-pp\_umba-md-pp-view.rc                                             28.57          60.71              3
.\_src\umba-md-pp\for_tag_test.cpp                                                 0.00          50.00              3
.\doc.drafts\boost\clr_build.bat                                                   0.00           0.00              3
.\doc.drafts\boost\make_boost_b2.bat                                              25.00           0.00              3
.\doc.drafts\csv.txt                                                               0.00           0.00              3
.\doc.drafts\plantuml\01-sequenceDiagram.puml                                      0.00           0.00              3
.\doc.drafts\plantuml\12-bnf-01.puml                                               0.00           0.00              3
.\doc.drafts\table-test\table-test-05.txt                                          0.00           0.00              3
.\.set_sln_exes.bat                                                                0.00           0.00              2
.\_src\umba-md-pp\md\base_includes.h                                              40.00          20.00              2
.\_start_msvc.bat                                                                  0.00           0.00              2
.\_update_debug_conf.bat                                                           0.00           0.00              2
.\doc.drafts\boost\build_b2.bat                                                    0.00           0.00              2
.\doc.drafts\resource_links.txt                                                    0.00           0.00              2
.\.set_sln.bat                                                                     0.00           0.00              1
.\_gen-doc-wlog.bat                                                                0.00           0.00              1
.\_precommit_wlog.bat                                                              0.00           0.00              1
.\_src\umba-md-pp\code-processing\_enums\_generate_all_wlog.bat                    0.00           0.00              1
.\_src\umba-md-pp\resource.h                                                       0.00          97.37              1
.\_start_code.bat                                                                  0.00           0.00              1
.\_update_all.bat                                                                  0.00           0.00              1
.\doc.drafts\boost\make_boost_wlog.bat                                             0.00           0.00              1
.\doc.drafts\umba-md-pp-view-console-todo.bat                                      0.00           0.00              1
.\doc.drafts\yaml-meta.txt                                                         0.00           0.00              1
.\doc\img.generated\diagram_0000.svg                                               0.00           0.00              1
.\doc\img.generated\diagram_0001.svg                                               0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\36-state-01.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\37-state-02.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\38-state-03.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\39-state-04.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\40-state-05.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\41-state-06.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\42-state-07.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\43-state-08.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\44-state-09.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\45-state-10.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\46-state-11.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\47-state-12.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\48-state-13.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\49-state-14.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\50-state-15.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\51-state-16.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\52-state-17.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\53-state-18.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\54-state-19.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\55-state-20.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\56-state-21.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\57-state-22.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\58-state-23.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\59-state-24.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\60-state-25.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\61-state-26.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\62-state-27.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\63-state-28.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\64-state-29.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\65-state-30.svg                            0.00           0.00              1
.\doc\img.generated\doc.drafts\plantuml\66-state-31.svg                            0.00           0.00              1
---------------------------------------------------------------------------------------------------------------------
SUM:                                                                              16.21           9.28          29288
---------------------------------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------
Language                          files        blank %      comment %           code
------------------------------------------------------------------------------------
C/C++ Header                         54          17.88          12.97          15490
JSON                                  9           2.32           0.00           3287
Text                                 61          16.26           0.00           2653
Markdown                             11          26.19           0.00           1970
C++                                   8          23.29          13.81           1672
SVG                                  45           0.00          11.92           1404
PlantUML                             64           7.66           0.34           1093
XML                                  30          15.04           4.93            665
CSS                                   6          16.59          11.26            500
DOS Batch                            31          15.35           1.44            347
Visual Studio Solution                1           0.73           0.73            135
CMake                                 1          33.33          24.07             69
Windows Resource File                 1          28.57          60.71              3
------------------------------------------------------------------------------------
SUM:                                322          16.21           9.28          29288
------------------------------------------------------------------------------------
